satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,cluster
0.1,0.77,6,247,4,0,1,0,7,1,3
0.11,0.81,6,305,4,0,1,0,7,1,3
0.11,0.83,6,282,4,0,1,0,7,1,3
0.09,0.95,6,304,4,0,1,0,7,1,3
0.09,0.62,6,294,4,0,1,0,2,1,3
0.1,0.94,6,255,4,0,1,0,9,1,3
0.11,0.89,6,306,4,0,1,0,9,1,3
0.1,0.8,7,281,4,0,1,0,9,1,3
0.09,0.89,6,276,4,0,1,0,9,1,3
0.13,0.78,6,152,2,0,1,0,8,1,3
0.1,0.92,7,307,4,0,1,0,8,1,3
0.11,0.94,7,255,4,0,1,0,8,1,3
0.1,0.81,6,309,4,0,1,0,9,1,3
0.09,0.87,7,295,4,0,1,0,6,1,3
0.11,0.77,6,291,4,0,1,0,5,1,3
0.11,0.87,6,305,4,0,1,0,5,1,3
0.17,0.84,5,232,3,0,1,0,7,1,3
0.1,0.79,6,291,4,0,1,0,7,1,3
0.09,0.83,6,255,4,0,1,0,7,1,3
0.1,0.77,6,265,4,0,1,0,7,1,3
0.1,0.84,6,279,4,0,1,0,7,1,3
0.11,0.97,6,284,4,0,1,0,7,1,3
0.11,0.84,6,251,4,0,1,0,9,1,3
0.14,0.62,4,158,4,1,1,0,9,1,3
0.11,0.84,6,300,5,1,1,0,8,1,3
0.11,0.92,6,260,4,0,1,0,8,1,3
0.09,0.82,6,250,4,0,1,0,8,1,3
0.1,0.83,6,292,4,0,1,0,8,1,3
0.31,0.84,7,133,5,0,1,0,9,1,3
0.1,0.84,6,283,4,1,1,0,9,1,3
0.09,0.96,6,245,4,0,1,0,0,1,3
0.11,0.8,6,256,4,0,1,0,0,1,3
0.11,0.87,6,306,4,0,1,0,0,1,3
0.11,0.91,6,278,4,0,1,0,5,1,3
0.11,0.8,6,304,4,0,1,0,2,1,3
0.11,0.92,6,305,4,0,1,0,9,1,3
0.1,0.95,7,301,4,0,1,0,5,1,3
0.11,0.84,7,296,4,0,1,0,7,1,3
0.31,0.54,5,132,5,0,1,0,7,1,3
0.11,0.78,7,278,4,0,1,0,7,1,3
0.1,0.88,6,284,4,0,1,0,7,1,3
0.09,0.8,7,283,5,0,1,0,9,1,3
0.09,0.8,6,304,4,0,1,0,9,1,3
0.27,0.54,7,278,3,0,1,0,9,1,3
0.1,0.91,6,287,4,0,1,0,9,1,3
0.1,0.89,7,285,4,0,1,0,9,1,3
0.1,0.93,6,256,4,0,1,0,8,1,3
0.1,0.84,6,286,4,0,1,0,6,1,3
0.11,0.83,6,244,4,0,1,0,2,1,3
0.1,0.97,7,254,4,0,1,0,7,1,3
0.1,0.87,7,289,4,0,1,0,7,1,3
0.11,0.84,6,298,4,0,1,0,7,1,3
0.19,0.59,7,192,3,0,1,0,7,1,3
0.09,0.96,6,296,4,0,1,0,9,1,3
0.11,0.9,6,254,4,0,1,0,9,1,3
0.1,0.97,6,267,4,1,1,0,8,1,3
0.09,0.78,6,254,4,0,1,0,8,1,3
